药品分类,商品名称,包装规格,生产厂家,批准文号,采购价,折扣价,销量
西药,苯溴马隆胶囊(立加利仙),50mg*10粒                    ,昆山龙灯瑞迪制药有限公司,国药准字H20010790,￥25.00/盒,￥23.00,1062
西药,盐酸特比萘芬凝胶,15g/支 / 大包装：400 支                    ,江苏万禾制药有限公司,国药准字H20103279,￥5.00/支,￥4.60,2739
西药,大霸灵/羧甲司坦口服液,500mg*10ml*6支 / 大包装：90 盒                    ,广州白云山医药集团股份有限公司白云山制药总厂,国药准字H44024104,￥7.50/盒,￥6.90,1572
西药,苯磺酸氨氯地平片,5mg*36片 / 大包装：200 盒                    ,辽宁康博士制药有限公司,国药准字H20093447,￥11.00/盒,￥10.12,655
西药,盐酸赛洛唑啉鼻用喷雾剂,10ml：5mg / 大包装：200 瓶                    ,湖北远大天天明制药有限公司,国药准字H19991392,￥29.50/瓶,￥27.14,63
西药,罗红霉素胶囊,75mg*12粒/盒 / 大包装：500 盒                    ,黑龙江诺捷制药有限责任公司,国药准字H20059107,￥2.15/盒,￥1.97,8545
西药,复方硫酸软骨素滴眼液(润洁),10ml / 大包装：504 支                    ,山东博士伦福瑞达制药有限公司,国药准字H20040653,￥12.10/支,￥11.13,3089
西药,头孢克洛胶囊(新达罗),0.25g*6S / 大包装：400 盒                    ,山东淄博新达制药有限公司,国药准字H10930008,￥7.60/盒,￥6.99,1305
西药,丙酸氯倍他索乳膏,10g:2mg/支                    ,湖北舒邦药业有限公司,国药准字H20173081,￥1.20/支,￥1.10,858
西药,维生素B1片,10mg*1000片 / 大包装：150 瓶                    ,华中药业股份有限公司,国药准字H42020611,￥22.00/瓶,￥20.24,1333
西药,别嘌醇片,0.1g*36片 / 大包装：200 盒                    ,世贸天阶制药(江苏)有限责任公司,国药准字H20033683,￥32.00/盒,￥29.44,1159
西药,注射用头孢呋辛钠,0.75g / 大包装：600 支                    ,国药集团致君(深圳)制药有限公司,国药准字H19990004,￥2.05/支,￥1.88,19517
西药,【一贝】小儿氨酚黄那敏颗粒,10袋/盒 / 大包装：300 盒                    ,山西同达药业,国药准字H14023630,￥2.15/盒,￥1.97,10721
西药,四环素软膏,10G / 大包装：800 支                    ,广东恒健制药有限公司,国药准字H44023931,￥0.98/支,￥0.90,6390
西药,头孢拉定胶囊,0.25g*100粒 / 大包装：200 瓶                    ,广东恒健制药有限公司,国药准字H20057871,￥19.50/瓶,￥17.94,465
西药,阿莫西林胶囊,0.25g*50S / 大包装：400 盒                    ,广州白云山医药集团股份有限公司白云山制药总厂,国药准字H44021518,￥10.50/盒,￥9.66,19859
西药,卤米松乳膏,1g:0.5mg*10g/支 / 大包装：600 支                    ,澳美制药厂,HC20150050,￥22.80/支,￥20.97,2587
西药,硫酸庆大霉素注射液,2ml:8万单位*10支 / 大包装：300 盒                    ,新乡东升制药有限公司,国药准字H41020249,￥3.60/盒,￥3.31,5242
西药,多潘立酮片【吗丁啉】,10mg*42片 / 大包装：360 盒                    ,西安杨森制药有限公司,国药准字H10910003,￥23.50/盒,￥21.62,3075
西药,氯霉素片,0.25g*100片 / 大包装：240 瓶                    ,江苏平光制药(焦作)有限公司,国药准字H41021913,￥16.50/瓶,￥15.18,2577
西药,克林霉素磷酸酯注射液,0.3g;2ml*10支 / 大包装：200 盒                    ,广州白云山天心制药股份有限公司,国药准字H20063576,￥9.00/盒,￥8.28,21571
西药,注射用炎琥宁,80mg / 大包装：1000 支                    ,武汉长联来福制药股份有限公司,国药准字H20046051,￥1.55/支,￥1.42,6949
西药,硫酸庆大霉素注射液,2ml:8万单位*10支 / 大包装：300 盒                    ,辰欣药业股份有限公司,国药准字H37021973,￥3.40/盒,￥3.12,4738
西药,盐酸二甲双胍片,0.25g*48S / 大包装：400 瓶                    ,北京京丰制药集团有限公司,国药准字H11021518,￥2.40/瓶,￥2.20,71570
西药,贝前列素钠片,40μg*10片/盒                    ,北京泰德制药股份有限公司,国药准字H20083589,￥65.80/盒,￥60.53,275
西药,氧氟沙星凝胶,15g/支 / 大包装：400 支                    ,江苏万禾制药有限公司,国药准字H20103273,￥4.80/支,￥4.41,3678
西药,盐酸吗啉胍片,0.1g*1000片 / 大包装：120 瓶                    ,山西津华晖星制药有限公司,国药准字H14023058,￥30.00/瓶,￥27.60,457
西药,安乃近片,0.5g*100片 / 大包装：200 瓶                    ,江苏平光(焦作)中药有限公司,国药准字H41021907,￥4.80/瓶,￥4.41,4961
西药,硝呋太尔制霉素阴道软胶囊,6粒 / 大包装：300 盒                    ,北京朗依制药,国药准字H20051563,￥11.50/盒,￥10.58,10028
西药,盐酸洛美沙星滴眼液,5ml;15mg/瓶                    ,黑龙江天龙药,国药准字H20054629,￥4.00/盒,￥3.68,1336
西药,肌苷注射液,2ml:0.1g*10支 / 大包装：300 盒                    ,华润双鹤利民药业(济南)有限公司,国药准字H37021221,￥1.50/盒,￥1.38,1602
西药,过氧化氢溶液,100ML / 大包装：140 瓶                    ,广东恒健制药有限公司,国药准字H44023919,￥3.30/瓶,￥3.03,85395
西药,氯雷他定片,6片/盒 / 大包装：300 盒                    ,广东逸舒制药股份有限公司,国药准字H20052214,￥2.35/盒,￥2.16,21813
西药,利巴韦林注射液,1ml:0.1g*10支 / 大包装：300 盒                    ,辰欣药业股份有限公司,国药准字H19993512,￥3.10/盒,￥2.85,10956
西药,氧氟沙星胶囊(瑞达),20S / 大包装：200 盒                    ,广州欧化药业有限公司,国药准字H44024928,￥3.20/盒,￥2.94,529
西药,活络油,50ml / 大包装：144 瓶                    ,黄氏国际药业有限公司,ZC20110004,￥62.00/瓶,￥57.04,10291
西药,阿昔洛韦凝胶,20g/支                    ,黑龙江天辰药业有限公司,国药准字H20093399,￥4.50/支,￥4.14,2092
西药,桂利嗪片,25mg*100片                    ,辰欣药业股份有限公司,国药准字H37021901,￥3.40/瓶,￥3.12,0
西药,枸橼酸铁铵维B1糖浆Ⅱ,120ml / 大包装：64 瓶                    ,陕西必康制药集团控股有限公司,国药准字H61023538,￥17.00/瓶,￥15.64,15
西药,炉甘石洗剂,100ml / 大包装：100 瓶                    ,上海运佳黄浦制药有限公司,国药准字H31022790,￥11.00/瓶,￥10.12,17160
西药,硫酸阿托品片,0.3g*100片 / 大包装：200 瓶                    ,杭州民生药业有限公司,国药准字H33020086,￥7.00/瓶,￥6.44,5995
西药,螺内酯片,20mg*100片                    ,江苏正大丰海制药有限公司,国药准字H32020077,￥11.50/瓶,￥10.58,206
西药,头孢拉定胶囊【6号丸】,0.25g*24s / 大包装：600 盒                    ,山东鲁抗医药股份有限公司,国药准字H20003027,￥3.95/盒,￥3.63,37070
西药,复方牛磺酸滴眼液(小乐敦),13ML / 大包装：288 支                    ,曼秀雷敦（中国）药业有限公司,国药准字H10980244,￥23.00/支,￥21.16,7597
西药,头孢拉定胶囊,0.25g*100粒 / 大包装：200 瓶                    ,山东鲁抗医药股份有限公司,国药准字H20003027,￥16.80/瓶,￥15.45,1909
西药,瑞舒伐他汀钙片,5mg*7片/盒 / 大包装：200 盒                    ,浙江海正药业股份有限公司,国药准字H20143337,￥11.50/盒,￥10.58,1393
西药,氯芬黄敏片,50片 / 大包装：300 瓶                    ,汕头市橄榄枝制药有限公司,国药准字H44024758,￥4.30/瓶,￥3.95,1101
西药,复方磺胺甲噁唑片,100片 / 大包装：240 瓶                    ,北大医药股份有限公司,国药准字H50020557,￥12.00/瓶,￥11.04,5376
西药,头孢克肟胶囊【达力芬】,0.1g*6S/盒 / 大包装：240 盒                    ,深圳致君制药,国药准字H20020513,￥5.00/盒,￥4.60,33769
西药,联苯苄唑乳膏【孚琪】,15G / 大包装：500 支                    ,北京华素制药股份有限公司,国药准字H10930043,￥12.80/支,￥11.77,712
西药,利巴韦林片,0.1g*12片*2板 / 大包装：240 盒                    ,山东齐都药业有限公司,国药准字H20073892,￥6.50/盒,￥5.98,3610
西药,酚酞片,0.1g*100片 / 大包装：600 瓶                    ,临汾宝珠制药有限公司,国药准字H14022492,￥7.80/瓶,￥7.17,1436
西药,转移因子口服溶液,10ml:10mg(多肽):300μg(核糖)*6支 / 大包装：100 盒                    ,长春精优药业股份有限公司,国药准字H20013232,￥7.80/盒,￥7.17,7514
西药,迈之灵片,260mg*40片 / 大包装：240 盒                    ,德国礼达大药厂,Z20140002,￥91.50/盒,￥84.18,748
西药,阿昔洛韦片,0.1g*30片 / 大包装：180 盒                    ,深圳海王药业有限公司,国药准字H44021631,￥1.98/盒,￥1.82,1449
西药,辛伐他汀片,10mg*7片*4板 / 大包装：400 盒                    ,山西建华晖星制药有限公司,国药准字H20073875,￥4.50/盒,￥4.14,142
西药,枸橼酸莫沙必利分散片【新络纳】,5mg*12s / 大包装：360 盒                    ,成都康弘药业集团股份有限公司,国药准字H20031110,￥15.90/盒,￥14.62,5420
西药,氟康唑胶囊,50mg*6粒*3板 / 大包装：300 合                    ,江西红星药业有限公司,国药准字H20065957,￥6.30/合,￥5.79,149
西药,丙谷胺片,0.2g*50片 / 大包装：300 盒                    ,特一药业集团股份有限公司,国药准字H44021087,￥5.90/盒,￥5.42,3572
西药,维生素AD滴剂【铁盒一岁以下】,10粒*4板 / 大包装：100 盒                    ,青岛双鲸药业有限公司,国药准字H37023926,￥17.50/盒,￥16.10,2621
西药,阿德福韦酯片【代丁】,10mg*14片 / 大包装：192 瓶                    ,天津药物研究院药业有限责任公司,国药准字H20050803,￥118.00/瓶,￥108.56,267
西药,葡萄糖酸锌颗粒,10g*14袋/盒 / 大包装：120 盒                    ,湖南嘉恒制药有限公司,国药准字H43020854,￥11.50/盒,￥10.58,299
西药,氧氟沙星滴耳液,5毫升 / 大包装：600 支                    ,南京天朗制药,国药准字H20094236,￥1.64/支,￥1.50,5229
西药,对乙酰氨基酚混悬滴剂,15ml / 大包装：168 瓶                    ,上海强生制药有限公司,国药准字H19990007,￥16.00/瓶,￥14.72,3551
西药,氯雷他定胶囊,7粒/盒 / 大包装：400 盒                    ,成都利尔药业有限公司,国药准字H20060838,￥2.90/盒,￥2.66,7060
西药,利巴韦林颗粒,50mg*18袋 / 大包装：200 盒                    ,湖南千金湘江药业股份有限公司,国药准字H20044779,￥4.60/盒,￥4.23,5720
西药,萘敏维滴眼液,8ML/支/盒 / 大包装：480 盒                    ,江苏远恒药业有限公司,国药准字H20059473,￥4.80/盒,￥4.41,9562
西药,鱼肝油乳,500ml / 大包装：30 瓶                    ,大连水产药业有限公司,国药准字H21023320,￥10.80/瓶,￥9.93,1778
西药,氟康唑胶囊,50mg/粒*6粒 / 大包装：300 盒                    ,江苏福邦药业,国药准字H20057154,￥1.75/盒,￥1.61,4527
西药,苯磺酸氨氯地平片,5mg*7片*2板 / 大包装：200 盒                    ,广州白云山医药集团股份有限公司白云山制药总厂,国药准字H20073724,￥9.50/盒,￥8.74,6057
西药,聚肌胞注射液,2ml*10支 / 大包装：300 盒                    ,广东南国药业有限公司,国药准字H20003724,￥20.50/盒,￥18.86,567
西药,甲硝唑氯已定洗剂,200ml/瓶/盒 / 大包装：60 瓶                    ,黑龙江天龙药,国药准字H20055494,￥6.50/瓶,￥5.98,1410
西药,护童宝宝湿疹膏,15g/支 / 大包装：400 支                    ,江西振威生物科技有限公司,赣卫消证字（2016）第0023号,￥4.50/支,￥4.14,658
西药,赖氨酸磷酸氢钙颗粒,15包*2小盒/盒 / 大包装：120 盒                    ,山西新宝源制药有限公司,国药准字H14023847,￥21.00/盒,￥19.32,480
西药,对乙酰氨基酚片,300mg*100粒 / 大包装：200 盒                    ,国药集团汕头金石制药有限公司,国药准字H44021050,￥3.50/盒,￥3.22,2015
西药,利福平乳膏,10g / 大包装：400 支                    ,广东华润顺峰药业,国药准字H44025324,￥3.10/支,￥2.85,9591
西药,注射用炎琥宁,200mg / 大包装：1000 瓶                    ,武汉长联来福制药股份有限公司,国药准字H20046052,￥1.90/瓶,￥1.74,15363
西药,维生素B2片,5mg*100S / 大包装：900 瓶                    ,广东恒健制药有限公司,国药准字H44020621,￥5.80/瓶,￥5.33,16004
西药,开塞露,20ml / 大包装：600 支                    ,上海运佳黄浦制药有限公司,国药准字H31021363,￥0.80/支,￥0.73,9519
西药,甲钴胺片【弥可保】,0.5mg*20片 / 大包装：280 盒                    ,卫材（中国）药业有限公司,国药准字H20030812,￥32.80/盒,￥30.17,2318
西药,盐酸二甲双胍缓释片,0.5g*10片*3板 / 大包装：400 盒                    ,山西华元医药生物技术有限公司,国药准字H20060815,￥8.00/盒,￥7.36,2632
西药,克林霉素甲硝唑搽剂,40ml/瓶/盒 / 大包装：200 盒                    ,黑龙江天龙药业有限公司,国药准字H20055436,￥7.20/盒,￥6.62,1204
西药,乳果糖口服溶液(杜密克),15ml*6袋 / 大包装：45 盒                    ,Abbott Healthcare Products B.V.,H20171057,￥37.50/盒,￥34.50,1104
西药,尼群地平片,10mg*100片 / 大包装：600 瓶                    ,仁和堂药业有限公司,国药准字H37020786,￥4.50/瓶,￥4.14,246
西药,【百为乐】氯雷他定片,10mg*6s / 大包装：600 盒                    ,万特制药(海南)有限公司,国药准字H20060402,￥1.50/盒,￥1.38,6433
西药,复方酮康唑发用洗剂,50ml / 大包装：100 瓶                    ,广西厚德大健康产业股份有限公司,国药准字H20074083,￥17.50/瓶,￥16.10,4097
西药,盐酸吗啉胍片,0.1g*100片 / 大包装：900 瓶                    ,北京中新制药厂,国药准字H13023469,￥6.60/瓶,￥6.07,5333
西药,注射用头孢曲松钠,1.0g / 大包装：1000 支                    ,山东鲁抗医药股份有限公司,国药准字H20003019,￥1.45/支,￥1.33,13373
西药,利巴韦林颗粒,50mg*18袋 / 大包装：400 盒                    ,海南皇隆制药股份有限公司,国药准字H20113127,￥3.80/盒,￥3.49,4595
西药,艾地苯醌片,30mg*12片 / 大包装：270 瓶                    ,齐鲁制药有限公司,国药准字H10970137,￥27.30/瓶,￥25.11,1011
西药,氟康唑片【依利康】,50mg*3片 / 大包装：400 盒                    ,石家庄四药股份公司,国药准字H10970299,￥6.00/盒,￥5.52,4484
西药,马来酸依那普利片,10mg*16片 / 大包装：400 盒                    ,湖南千金湘江药业股份有限公司,国药准字H20066383,￥7.80/盒,￥7.17,6942
西药,维生素B12片,25ug*100片                    ,上海信谊九福药业有限公司,国药准字H31022370,￥2.40/盒,￥2.20,747
西药,复方倍氯米松樟脑乳膏【无极膏】,10g / 大包装：600 支                    ,上海延安药业(湖北)有限公司,国药准字H42021866,￥4.20/支,￥3.86,27956
西药,小儿氨酚烷胺颗粒【优卡丹】,6g*10袋 / 大包装：200 盒                    ,江西铜鼓仁和制药有限公司,国药准字H20068170,￥7.30/盒,￥6.71,7388
西药,复方酮康唑软膏(皮康王】,7g / 大包装：960 瓶                    ,上海朝辉药业有限公司,国药准字H20030246,￥2.25/瓶,￥2.07,46904
西药,阿昔洛韦片,0.1g*24片 / 大包装：400 盒                    ,深圳市海王药业有限公司,国药准字H44021631,￥1.78/盒,￥1.63,10537
西药,维生素C片,100S / 大包装：350 瓶                    ,广东华南药业集团有限公司,国药准字H44020774,￥2.50/瓶,￥2.30,8213
西药,开塞露,10ml / 大包装：600 支                    ,上海运佳黄浦制药有限公司,国药准字H31022217,￥0.75/支,￥0.69,5096
西药,小儿复方四维亚铁散,10克*9袋                    ,湖南方盛制药股份有限公司,国药准字H43021862,￥10.50/盒,￥9.66,87
西药,注射用头孢噻肟钠,1.0G / 大包装：1000 瓶                    ,深圳致君制药有限公司,国药准字H44022839,￥1.80/瓶,￥1.65,3771
西药,伊曲康唑胶囊【斯皮仁诺】,0.1g*4s                    ,西安杨森制药有限公司,国药准字H20020367,￥39.50/盒,￥36.34,1116
西药,阿昔洛韦片,0.1g*12s*2板/盒                    ,湖南迪诺制药有限公司,国药准字H43020657,￥2.05/盒,￥1.88,1095
西药,小儿氨酚黄那敏颗粒,10袋装/盒 / 大包装：300 盒                    ,河北康泰药业有限公司,国药准字H13024065,￥2.20/盒,￥2.02,7491
西药,乳酸依沙吖啶溶液【黄药水】,100ML / 大包装：140 瓶                    ,广东恒健制药有限公司,国药准字H44024244,￥11.80/瓶,￥10.85,12167
西药,加替沙星胶囊,100毫克*12粒/盒 / 大包装：400 盒                    ,湖北百科亨迪药业有限公司,国药准字H20052429,￥3.50/盒,￥3.22,1956
西药,三磷酸腺苷二钠片【ATP),20mg*12片 / 大包装：600 盒                    ,广州白云山光华制药股份有限公司,国药准字H44024661,￥7.30/盒,￥6.71,23025
西药,泮托拉唑钠肠溶片,8片/盒 / 大包装：300 盒                    ,湖南九典制药,国药准字H20093501,￥11.50/盒,￥10.58,605
西药,酚咖片,20片 / 大包装：200 盒                    ,中美天津史克制药,国药准字H20066878,￥11.90/盒,￥10.94,8993
西药,氯雷他定片,6片/盒 / 大包装：400 盒                    ,河南九势制药,国药准字H20050009,￥1.98/盒,￥1.82,9303
西药,利巴韦林颗粒【新博林】,50MG*18袋 / 大包装：200 盒                    ,四川百利药业有限责任公司,国药准字H51023508,￥4.00/盒,￥3.68,18372
西药,吡拉西坦片,0.4g*100片                    ,华润双鹤利民药业(济南)有限公司,国药准字H37021166,￥5.10/瓶,￥4.69,680
西药,马来酸氯苯那敏片,4mg*1000片 / 大包装：200 瓶                    ,河南九势制药有限公司,国药准字H20067086,￥12.00/瓶,￥11.04,3781
西药,氟康唑胶囊,50mg*3粒/板*2板/盒 / 大包装：300 盒                    ,海南林恒制药有限公司,国药准字H20033091,￥1.90/盒,￥1.74,2367
西药,复方氨酚烷胺片,12片                    ,辽宁华瑞联合制药有限公司,国药准字H21023345,￥1.80/盒,￥1.65,663
西药,卡托普利片,12.5mg*100片/瓶 / 大包装：500 瓶                    ,上海皇象铁力蓝天制药有限公司,国药准字H23023159,￥2.00/瓶,￥1.84,2666
西药,复方酮康唑发用洗剂,50ml/瓶/盒 / 大包装：100 瓶                    ,黑龙江天龙药,国药准字H20044742,￥10.50/瓶,￥9.66,2444
西药,硫酸庆大霉素碳酸铋胶囊,10粒 / 大包装：100 盒                    ,山西同达药业有限公司,国药准字H20066988,￥4.50/盒,￥4.14,328
西药,红霉素软膏,20克/支 / 大包装：400 支                    ,江西德成制药有限公司,国药准字H36020018,￥3.25/支,￥2.99,11114
西药,复方氯己定含漱液【口泰】,200ml/瓶 / 大包装：80 瓶                    ,深圳南粤药业有限公司,国药准字H10920104,￥11.50/瓶,￥10.58,2341
西药,【茂祥必克】复方氨酚烷胺片,12片*1板/盒 / 大包装：500 盒                    ,通化茂祥制药,国药准字H22025604,￥2.20/盒,￥2.02,4992
西药,盐酸雷尼替丁胶囊,0.15g*30粒/瓶 / 大包装：500 瓶                    ,上海皇象铁力蓝天制药有限公司,国药准字H23023162,￥7.00/瓶,￥6.44,19135
西药,头孢羟氨苄胶囊,0.25g*16粒 / 大包装：400 盒                    ,山西同达药业有限公司,国药准字H14021864,￥5.40/盒,￥4.96,105
西药,复方锌布颗粒剂【臣功再欣】,12包 / 大包装：200 盒                    ,南京臣功制药股份有限公司,国药准字H32026469,￥11.20/盒,￥10.30,16380
西药,小儿氨酚黄那敏颗粒【小快克】,10袋 / 大包装：200 盒                    ,浙江亚峰药厂,国药准字H33022441,￥8.35/盒,￥7.68,1479
西药,鱼腥草素钠片,30mg*100片 / 大包装：320 瓶                    ,上海青平药业有限公司,国药准字H31020701,￥4.20/瓶,￥3.86,2120
西药,复方酮康唑乳膏,10g / 大包装：600 瓶                    ,上海新亚药业闵行有限公司,国药准字H31022877,￥3.95/瓶,￥3.63,2788
西药,牡蛎碳酸钙片,100片 / 大包装：300 瓶                    ,广州白云山光华制药股份有限公司,国药准字H44024262,￥6.90/瓶,￥6.34,3739
西药,甲硝唑维B6片,24片/盒 / 大包装：400 盒                    ,上海皇象铁力蓝天制药有限公司,国药准字H23022923,￥5.00/盒,￥4.60,495
西药,非那雄胺片【浦列安】,5mg*10片/盒 / 大包装：480 盒                    ,上海现代制药股份有限公司,国药准字H20050550,￥6.60/盒,￥6.07,2828
西药,阿奇霉素分散片,0.25g*6片 / 大包装：400 盒                    ,武汉中联集团四药药业有限公司,国药准字H20000153,￥3.60/盒,￥3.31,376
西药,苯磺酸左旋氨氯地平片,2.5mg*14片 / 大包装：200 盒                    ,江西施美制药有限公司,国药准字H20083362,￥12.50/盒,￥11.50,2961
西药,利巴韦林喷剂,16g                    ,山东京卫制药有限公司,国药准字H20093066,￥9.80/瓶,￥9.01,2063
西药,氯雷他定颗粒,5MG*6袋/盒 / 大包装：500 盒                    ,海南新世通制,国药准字H20041708,￥2.80/盒,￥2.57,4742
西药,双氯芬酸钠肠溶片,25mg*36片/盒 / 大包装：400 盒                    ,上海皇象铁力蓝天制药有限公司,国药准字H23021289,￥2.50/盒,￥2.30,3531
西药,头孢克肟片,0.1g*8片/盒 / 大包装：300 盒                    ,广州白云山医药集团股份有限公司白云山制药总厂,国药准字H10950235,￥29.50/盒,￥27.14,620
西药,阿莫西林克拉维酸钾干混悬剂,0.15625g*10袋 / 大包装：300 盒                    ,淮南泰复制药有限公司,国药准字H20020050,￥9.40/盒,￥8.64,195
西药,小儿氨酚黄那敏颗粒,6g*10袋                    ,武汉东信医药科技有限责任公司,国药准字H42022309,￥3.25/盒,￥2.99,715
西药,汞溴红溶液,20ml / 大包装：800 瓶                    ,广东恒建制药,国药准字H44024939,￥3.55/瓶,￥3.26,46511
西药,葡萄糖粉剂,500g / 大包装：40 包                    ,福州海王福药制药有限公司,国药准字H35021006,￥8.00/包,￥7.36,501
西药,复方氯唑沙宗片【鲁南贝特】,24S / 大包装：300 盒                    ,鲁南贝特制药有限公司A,国药准字H10940040,￥12.60/盒,￥11.59,1407
西药,丁酸氢化可的松乳膏【尤卓尔】,0.1%(20g:20mg)*20g/支 / 大包装：200 支                    ,天津金耀药业有限公司,国药准字H10940095,￥14.50/支,￥13.34,1501
西药,曲克芦丁片,60mg*100片/瓶 / 大包装：500 瓶                    ,上海皇象铁力蓝天制药有限公司,国药准字H20044104,￥4.00/瓶,￥3.68,2543
西药,诺氟沙星胶囊,10s                    ,广东华南药业集团有限公司,国药准字H44023984,￥1.00/盒,￥0.92,35
西药,浓氯化钠注射液,10ml:1g*5支 / 大包装：180 盒                    ,国药集团容生制药有限公司,国药准字H20013006,￥2.90/盒,￥2.66,359
西药,卡马西平片,0.1g*100片 / 大包装：450 瓶                    ,江苏鹏鹞药业有限公司,国药准字H32021018,￥14.80/瓶,￥13.61,1954
西药,奥美拉唑肠溶胶囊【彼司克】,20mg*7粒 / 大包装：200 盒                    ,广东彼迪药业,国药准字H44023977,￥8.10/盒,￥7.45,3082
西药,三维B片,30片 / 大包装：300 瓶                    ,广州白云山光华制药股份有限公司,国药准字H44024264,￥33.00/瓶,￥30.36,2341
西药,氯雷他定颗粒,5MG*12袋/盒 / 大包装：400 盒                    ,江苏苏中海欣,国药准字H20041015,￥5.65/盒,￥5.19,3603
西药,诺氟沙星胶囊,0.1g*10粒*2板 / 大包装：600 盒                    ,上海皇象铁力蓝天药业制药有限公司,国药准字H23022017,￥1.85/盒,￥1.70,5920
西药,阿昔洛韦乳膏,10克/支                    ,福建太平洋制药有限公司,国药准字H20063676,￥1.20/支,￥1.10,2514
西药,狼毒软膏,20g / 大包装：400 支                    ,江西盖天灵药业有限公司,赣卫消证字（2010）第0095号,￥2.50/支,￥2.30,7170
西药,对乙酰氨基酚口服溶液,60ML / 大包装：80 瓶                    ,中美上海施贵宝制药有限公司,国药准字H31022309,￥10.50/瓶,￥9.66,4537
西药,林旦乳膏,1％*30克 / 大包装：400 支                    ,广东恒健制药有限公司,国药准字H44023929,￥17.80/支,￥16.37,4604
西药,多维元素片,30S / 大包装：60 盒                    ,中美上海施贵宝制药有限公司,国药准字H10930015,￥33.50/盒,￥30.82,1760
西药,转移因子口服溶液,10ML*5支/盒 / 大包装：160 盒                    ,金花企业(集团)股份有限公司西安金花制药厂,国药准字H20013288,￥7.50/盒,￥6.90,2992
西药,复方对乙酰氨基酚片,12片/盒                    ,安徽东盛友邦制药有限公司,国药准字H34020874,￥2.30/盒,￥2.11,1297
西药,三磷酸腺苷二钠片,20mg*12片*2板 / 大包装：500 盒                    ,广东南国药业有限公司,国药准字H44024627,￥3.60/盒,￥3.31,1119
西药,萘敏维滴眼液,10ml / 大包装：480 支                    ,江西珍视明药业有限公司,国药准字H20073912,￥9.00/支,￥8.28,49
西药,新盖中盖牌儿童钙片,1.75g*36片 / 大包装：120 瓶                    ,哈药集团制药六厂,卫食健字(2002)第0162号,￥22.50/瓶,￥20.70,476
西药,对乙酰氨基酚片,0.5g*20片/盒 / 大包装：400 盒                    ,广州欧化药业,国药准字H44022633,￥2.90/盒,￥2.66,10204
西药,丙戊酸钠片,0.2g*100片 / 大包装：100 瓶                    ,湖南湘中药业有限公司,国药准字H43020874,￥15.00/瓶,￥13.80,2694
西药,氧氟沙星滴眼液,8ml:24mg/盒 / 大包装：600 盒                    ,武汉诺安药业有限公司,国药准字H20083317,￥2.05/盒,￥1.88,3638
西药,复方氨酚烷胺胶囊,12粒/盒 / 大包装：400 盒                    ,黑龙江喜人药业集团有限公司,国药准字H23023721,￥2.80/盒,￥2.57,2327
西药,美索巴莫片,12片*2板 / 大包装：400 盒                    ,甘肃省西峰制药有限责任公司,国药准字H62021115,￥12.00/盒,￥11.04,421
西药,甲硝唑片,0.2G*100片 / 大包装：240 瓶                    ,远大医药(中国)有限公司,国药准字H42021947,￥4.80/瓶,￥4.41,6416
西药,头孢拉定胶囊,12s*2板 / 大包装：450 盒                    ,上海美优制药有限公司,国药准字H31021618,￥4.80/盒,￥4.41,10359
西药,甲紫溶液,20ml / 大包装：800 瓶                    ,广东恒健制药有限公司,国药准字H44023922,￥0.98/瓶,￥0.90,12520
西药,丙戊酸钠缓释片【德巴金】,0.5g*30片 / 大包装：240 瓶                    ,赛诺菲(杭州)制药有限公司,国药准字H20010595,￥72.00/瓶,￥66.24,11705
西药,维生素C片,0.1g*100S / 大包装：320 瓶                    ,广东恒健制药有限公司,国药准字H44021171,￥2.20/瓶,￥2.02,27948
西药,硫软膏,10%*15g                    ,佑华制药(乐山)有限公司,国药准字H51020852,￥6.00/支,￥5.52,2068
西药,炉甘石洗剂,100ml / 大包装：150 瓶                    ,湖南尔康湘药制药有限公司,国药准字H20153294,￥8.50/瓶,￥7.82,15746
西药,注射用头孢噻肟钠,1.0g / 大包装：600 瓶                    ,成都倍特药业有限公司,国药准字H20023560,￥1.30/瓶,￥1.19,0
西药,富马酸酮替芬片,1mg*60片 / 大包装：450 瓶                    ,江苏瑞年前进制药有限公司,国药准字H32023142,￥2.90/瓶,￥2.66,2191
西药,转移因子胶囊,12粒*2板 / 大包装：300 盒                    ,南京瑞尔医药有限公司,国药准字H20013423,￥9.30/盒,￥8.55,5760
西药,滴眼用利福平,5mg:10ml                    ,武汉五景药业有限公司,国药准字H42022693,￥4.80/支,￥4.41,2434
西药,注射用头孢呋辛钠,1g*10支 / 大包装：600 支                    ,深圳致君制药有限公司,国药准字H20010775,￥2.85/支,￥2.62,4250
西药,维生素B6片,10mg*100S / 大包装：900 瓶                    ,广东恒健制药有限公司,国药准字H44020622,￥4.10/瓶,￥3.77,27418
西药,肌苷片,0.2g*100片 / 大包装：360 瓶                    ,广东南国药业有限公司,国药准字H44024017,￥8.00/瓶,￥7.36,1012
西药,罗红霉素片,75MG*12片 / 大包装：320 盒                    ,丽珠集团丽珠制药厂,国药准字H10970271,￥2.75/盒,￥2.53,3376
西药,盐酸乙胺丁醇片,0.25g*100片 / 大包装：200 瓶                    ,广东华南药业集团有限公司,国药准字H44020758,￥17.00/瓶,￥15.64,1090
西药,小儿氨酚黄那敏颗粒,18袋                    ,四川恩威制药有限公司,国药准字H51023348,￥9.70/盒,￥8.92,180
